"학구ID",학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000104544,여수서초통학구역,0,46,130,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,531078,2021-03-25
Z000100968,대구중리초통학구역,0,27,170,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2016-08-12,2016-08-12,531079,2021-03-25
Z000104185,낭산초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-12,531080,2021-03-25
Z000104402,성수초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531081,2021-03-25
Z000104394,장수초통학구역,0,45,740,8320000,전라북도교육청,8421000,전라북도장수교육지원청,2016-08-12,2016-08-12,531082,2021-03-25
Z000104386,적상초통학구역,0,45,730,8320000,전라북도교육청,8411000,전라북도무주교육지원청,2016-08-12,2016-08-12,531083,2021-03-25
Z000101703,삼동초통학구역,0,31,710,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2016-08-12,2016-08-12,531084,2021-03-25
Z000105705,진영대창초통학구역,0,48,250,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2016-08-12,2016-08-12,531085,2021-03-25
Z000105781,화정초통학구역,0,48,720,9010000,경상남도교육청,9121000,경상남도의령교육지원청,2016-08-12,2016-08-12,531175,2021-03-25
Z000105493,사파초통학구역,0,48,123,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,531176,2021-03-25
Z000105626,진남초통학구역,0,48,220,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2016-08-12,2018-07-19,531177,2021-03-25
Z000105697,이작초통학구역,0,48,250,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2016-08-12,2016-08-12,530988,2021-03-25
Z000104520,소라초사곡분교장통학구역,0,46,130,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,530990,2021-03-25
Z000104864,서삼초통학구역,0,46,880,8490000,전라남도교육청,8691000,전라남도장성교육지원청,2016-08-12,2016-08-12,530991,2021-03-25
Z000104752,안양동초통학구역,0,46,800,8490000,전라남도교육청,8621000,전라남도장흥교육지원청,2016-08-12,2016-08-12,530992,2021-03-25
Z000150627,금오초형일초공동통학구역,1,47,190,8750000,경상북도교육청,8801000,경상북도구미교육지원청,2017-01-02,2017-01-02,530993,2021-03-25
Z000104203,용성초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-16,531052,2021-03-25
Z000104169,술산초통학구역,0,45,130,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-16,531053,2021-03-25
Z000104176,옥산초통학구역,0,45,130,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-12,531054,2021-03-25
Z000104155,나포초통학구역,0,45,130,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-12,531055,2021-03-25
Z000104400,마암초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531056,2021-03-25
Z000104514,백초초통학구역,0,46,130,8490000,전라남도교육청,8511000,전라남도여수교육지원청,2016-08-12,2016-08-12,531057,2021-03-25
Z000104454,부안남초통학구역,0,45,800,8320000,전라북도교육청,8461000,전라북도부안교육지원청,2016-08-12,2016-08-12,531058,2021-03-25
Z000104414,복흥초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531059,2021-03-25
Z000104421,인계초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531060,2021-03-25
Z000105766,칠천초통학구역,0,48,310,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2016-08-12,2016-08-12,531061,2021-03-25
Z000105868,철성초통학구역,0,48,820,9010000,경상남도교육청,9161000,경상남도고성교육지원청,2016-08-12,2016-08-12,531062,2021-03-25
Z000105725,송진초통학구역,0,48,270,9010000,경상남도교육청,9101000,경상남도밀양교육지원청,2016-08-12,2016-08-12,531063,2021-03-25
Z000104372,장승초통학구역,0,45,720,8320000,전라북도교육청,8401000,전라북도진안교육지원청,2016-08-12,2016-08-12,531086,2021-03-25
Z000104426,고수초통학구역,0,45,790,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2016-08-12,2016-08-12,531087,2021-03-25
Z000104430,대아초통학구역,0,45,790,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2016-08-12,2016-08-12,531088,2021-03-25
Z000104425,가평초통학구역,0,45,790,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2016-08-12,2016-08-12,531089,2021-03-25
Z000104436,상하초통학구역,0,45,790,8320000,전라북도교육청,8451000,전라북도고창교육지원청,2016-08-12,2016-08-12,531090,2021-03-25
Z000104605,팔마초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,531091,2021-03-25
Z000104567,동명초통학구역,0,46,150,8490000,전라남도교육청,8521000,전라남도순천교육지원청,2016-08-12,2016-08-12,531092,2021-03-25
Z000104423,팔덕초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531093,2021-03-25
Z000104404,신평초통학구역,0,45,750,8320000,전라북도교육청,8431000,전라북도임실교육지원청,2016-08-12,2016-08-12,531094,2021-03-25
Z000104456,상서초통학구역,0,45,800,8320000,전라북도교육청,8461000,전라북도부안교육지원청,2016-08-12,2016-08-12,531095,2021-03-25
Z000105507,신방초통학구역,0,48,121,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,531097,2021-03-25
Z000105562,화양초통학구역,0,48,121,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,531098,2021-03-25
Z000104422,적성초통학구역,0,45,770,8320000,전라북도교육청,8441000,전라북도순창교육지원청,2016-08-12,2016-08-12,531099,2021-03-25
Z000104360,청명초통학구역,0,45,710,8320000,전라북도교육청,8391000,전라북도완주교육지원청,2016-08-12,2016-08-12,531192,2021-03-25
Z000101636,매곡초통학구역,0,31,200,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2016-08-12,2017-02-17,531193,2021-03-25
Z000104200,용남초통학구역,0,45,140,8320000,전라북도교육청,8351000,전라북도익산교육지원청,2016-08-12,2016-08-16,530994,2021-03-25
