,소분류,DONG,자치구,사업체수
269,1117070,가리봉동,구로구,993
270,1117071,구로2동,구로구,7653
271,1117072,개봉1동,구로구,1698
272,1117073,오류2동,구로구,1729
273,1118051,가산동,금천구,16661
274,1118052,독산1동,금천구,437
275,1118053,독산2동,금천구,1154
276,1118054,독산3동,금천구,287
277,1118055,독산4동,금천구,994
278,1118057,시흥1동,금천구,378
279,1118058,시흥2동,금천구,651
280,1118059,시흥3동,금천구,3167
281,1118060,시흥4동,금천구,853
282,1118061,시흥5동,금천구,1132
283,1119055,당산1동,영등포구,37
284,1119056,당산2동,영등포구,2289
285,1119061,양평1동,영등포구,368
286,1119062,양평2동,영등포구,2182
287,1119063,신길1동,영등포구,191
288,1119065,신길3동,영등포구,1369
289,1119066,신길4동,영등포구,433
290,1119067,신길5동,영등포구,526
291,1119068,신길6동,영등포구,1228
292,1119069,신길7동,영등포구,6
293,1119070,대림1동,영등포구,164
294,1119071,대림2동,영등포구,1378
295,1119072,대림3동,영등포구,2262
296,1119073,영등포본동,영등포구,14
297,1119074,영등포동,영등포구,5883
298,1119075,도림동,영등포구,121
299,1119076,문래동,영등포구,57
300,1120052,노량진2동,동작구,16
301,1120053,상도1동,동작구,1765
302,1120054,상도2동,동작구,1398
303,1120055,상도3동,동작구,111
304,1120056,상도4동,동작구,108
305,1120063,사당1동,동작구,17
306,1120065,사당3동,동작구,936
307,1120066,사당4동,동작구,659
308,1120067,사당5동,동작구,519
309,1120068,대방동,동작구,1693
310,1120069,신대방1동,동작구,135
311,1120070,신대방2동,동작구,1227
312,1120071,흑석동,동작구,1557
313,1120072,노량진1동,동작구,1856
314,1120073,사당2동,동작구,1633
315,1121052,보라매동,관악구,1367
316,1121054,청림동,관악구,451
317,1121057,행운동,관악구,1372
318,1121058,낙성대동,관악구,1296
319,1121061,중앙동,관악구,965
320,1121062,인헌동,관악구,153
321,1121063,남현동,관악구,872
322,1121064,서원동,관악구,1279
323,1121065,신원동,관악구,814
324,1121066,서림동,관악구,1115
325,1121068,신사동,관악구,1359
326,1121068,신사동,강남구,41
327,1123051,신사동,관악구,1359
328,1123051,신사동,강남구,41
329,1121069,신림동,관악구,1687
330,1121071,난향동,관악구,397
331,1121072,조원동,관악구,21
332,1121073,대학동,관악구,1636
333,1121078,은천동,관악구,1562
334,1121079,성현동,관악구,821
335,1121080,청룡동,관악구,1855
336,1121081,난곡동,관악구,954
337,1121082,삼성동,관악구,1
338,1121083,미성동,관악구,14
339,1122051,서초1동,서초구,3811
340,1122052,서초2동,서초구,572
341,1122053,서초3동,서초구,7725
342,1122054,서초4동,서초구,312
343,1122055,잠원동,서초구,2199
344,1122056,반포본동,서초구,665
345,1122057,반포1동,서초구,1737
346,1122058,반포2동,서초구,6
347,1122059,반포3동,서초구,964
348,1122060,반포4동,서초구,3291
349,1122061,방배본동,서초구,1623
350,1122062,방배1동,서초구,17
351,1122063,방배2동,서초구,1852
352,1122064,방배3동,서초구,1186
353,1122065,방배4동,서초구,2149
354,1122066,양재1동,서초구,3616
355,1122067,양재2동,서초구,4989
356,1122068,내곡동,서초구,836
357,1123052,논현1동,강남구,59
358,1123053,논현2동,강남구,5596
359,1123058,삼성1동,강남구,479
360,1123059,삼성2동,강남구,3661
361,1123060,대치1동,강남구,168
362,1123063,대치4동,강남구,3677
363,1123064,역삼1동,강남구,15451
364,1123065,역삼2동,강남구,3775
365,1123066,도곡1동,강남구,1596
366,1123067,도곡2동,강남구,1828
367,1123068,개포1동,강남구,169
368,1123071,개포4동,강남구,1884
369,1123072,일원본동,강남구,0
370,1123073,일원1동,강남구,2123
371,1123074,일원2동,강남구,564
372,1123075,수서동,강남구,14
373,1123076,세곡동,강남구,1338
374,1123077,압구정동,강남구,3919
375,1123078,청담동,강남구,4212
376,1123079,대치2동,강남구,3897
377,1123080,개포2동,강남구,737
378,1124051,풍납1동,송파구,7
379,1124052,풍납2동,송파구,1151
380,1124053,거여1동,송파구,826
381,1124054,거여2동,송파구,841
382,1124055,마천1동,송파구,994
383,1124056,마천2동,송파구,13
384,1124057,방이1동,송파구,1317
385,1124058,방이2동,송파구,3125
386,1124059,오륜동,송파구,496
387,1124060,오금동,송파구,2397
388,1124061,송파1동,송파구,29
389,1124062,송파2동,송파구,836
390,1124063,석촌동,송파구,2666
391,1124064,삼전동,송파구,228
392,1124065,가락본동,송파구,3489
393,1124066,가락1동,송파구,2988
394,1124067,가락2동,송파구,11
395,1124068,문정1동,송파구,1295
396,1124069,문정2동,송파구,7131
397,1124081,장지동,송파구,1337
398,1124082,위례동,송파구,667
399,1124071,잠실본동,송파구,342
400,1124075,잠실4동,송파구,383
401,1124077,잠실6동,송파구,2629
402,1124078,잠실7동,송파구,196
403,1124079,잠실2동,송파구,777
404,1124080,잠실3동,송파구,1543
405,1125051,강일동,강동구,962
406,1125052,상일동,강동구,918
407,1125053,명일1동,강동구,1739
408,1125054,명일2동,강동구,987
409,1125055,고덕1동,강동구,732
410,1125056,고덕2동,강동구,677
411,1125058,암사2동,강동구,838
412,1125059,암사3동,강동구,576
413,1125061,천호1동,강동구,1534
414,1125063,천호3동,강동구,18
415,1125065,성내1동,강동구,248
416,1125066,성내2동,강동구,1836
417,1125067,성내3동,강동구,2439
418,1125070,둔촌1동,강동구,17
419,1125071,둔촌2동,강동구,1553
420,1125072,암사1동,강동구,1918
421,1125073,천호2동,강동구,3439
422,1125074,길동,강동구,537
