,subwayNo,Line,subwayName,address_kor1,address_kor2,address_kor3,latitude,longitude
95,409,4,당고개,서울특별시 노원구 상계로 305 (상계동),서울특별시 노원구 상계로 305 ,서울특별시 노원구 당고개역,37.670098,127.0789245
96,410,4,상계,서울특별시 노원구 상계로 182 (상계동),서울특별시 노원구 상계로 182 ,서울특별시 노원구 상계역,37.65918,127.07304
97,411,4,노원,서울특별시 노원구 상계로 69-1 (상계동),서울특별시 노원구 상계로 69-1 ,서울특별시 노원구 노원역,37.6542994,127.0605783
98,412,4,창동,서울특별시 도봉구 마들로 11길 77 (창동),서울특별시 도봉구 마들로 11길 77 ,서울특별시 도봉구 창동역,37.6531817,127.0476987
99,413,4,쌍문,서울특별시 도봉구 도봉로 지하 486-1 (창동),서울특별시 도봉구 도봉로 지하 486-1 ,서울특별시 도봉구 쌍문역,37.6476305,127.0339352
100,414,4,수유,서울특별시 강북구 도봉로 지하 50 (미아동),서울특별시 강북구 도봉로 지하 50 ,서울특별시 강북구 수유역,37.6379932,127.0257229
101,415,4,미아,서울특별시 강북구 도봉로 지하 198 (미아동),서울특별시 강북구 도봉로 지하 198 ,서울특별시 강북구 미아역,37.626255,127.0262409
102,416,4,미아사거리,서울특별시 강북구 도봉로 지하 50 (미아동),서울특별시 강북구 도봉로 지하 50 ,서울특별시 강북구 미아사거리역,37.613864,127.0299853
103,417,4,길음,서울특별시 성북구 동소문로 지하 248 (길음동),서울특별시 성북구 동소문로 지하 248 ,서울특별시 성북구 길음역,37.60171,127.02421
104,418,4,성신여대입구,서울특별시 성북구 동소문로 지하 102 (동선동4가),서울특별시 성북구 동소문로 지하 102 ,서울특별시 성북구 성신여대입구역,37.5924655,127.0165397
105,419,4,한성대입구,서울특별시 성북구 삼선교로 지하1 (삼선동1가),서울특별시 성북구 삼선교로 지하1 ,서울특별시 성북구 한성대입구역,37.5884566,127.0061143
106,420,4,혜화,서울특별시 종로구 대학로 지하 120 (동숭동),서울특별시 종로구 대학로 지하 120 ,서울특별시 종로구 혜화역,37.5821381,127.0019525
107,421,4,동대문,서울특별시 종로구 율곡로 308,서울특별시 종로구 율곡로 308,서울특별시 종로구 동대문역,37.5714064,127.0093351
108,422,4,동대문역사문화공원,서울특별시 중구 장충단로 지하 230 (광희동 2가),서울특별시 중구 장충단로 지하 230 ,서울특별시 중구 동대문역사문화공원역,37.5652615,127.0081233
109,423,4,충무로,서울특별시 중구 퇴계로 지하 199 (필동2가),서울특별시 중구 퇴계로 지하 199 ,서울특별시 중구 충무로역,37.5610059,126.9931987
110,424,4,명동,서울특별시 중구 퇴계로 지하 126 (충무로2가),서울특별시 중구 퇴계로 지하 126 ,서울특별시 중구 명동역,37.5612,126.98802
111,425,4,회현,서울특별시 중구 퇴계로 지하 54 (남창동),서울특별시 중구 퇴계로 지하 54 ,서울특별시 중구 회현역,37.55871715,126.97841493410925
112,426,4,서울,서울특별시 용산구 한강대로 지하 392(동자동) ,서울특별시 용산구 한강대로 지하 392,서울특별시 용산구 서울역,37.5534443,126.9697112
113,427,4,숙대입구,서울특별시 용산구 한강대로 지하 306,서울특별시 용산구 한강대로 지하 306,서울특별시 용산구 숙대입구역,37.54536,126.97074
114,428,4,삼각지,서울특별시 용산구 한강대로 지하 180 (한강로1가),서울특별시 용산구 한강대로 지하 180 ,서울특별시 용산구 삼각지역,37.5356461,126.9738539
115,429,4,신용산,서울특별시 용산구 한강대로 지하 112 (한강로2가),서울특별시 용산구 한강대로 지하 112 ,서울특별시 용산구 신용산역,37.52978,126.96758
116,430,4,이촌,서울특별시 용산구 용산동5가 17,서울특별시 용산구 용산동5가 17,서울특별시 용산구 이촌역,37.52257,126.97416
117,431,4,동작,서울특별시 동작구 현충로 257 (동작동),서울특별시 동작구 현충로 257 ,서울특별시 동작구 동작역,37.5029705,126.978203
118,432,4,총신대입구,서울특별시 동작구 동작대로 지하 117 (사당동),서울특별시 동작구 동작대로 지하 117 ,서울특별시 동작구 총신대입구역,,
119,433,4,사당,서울특별시 동작구 동작대로 3(사당동 / 사당역(4호선)),서울특별시 동작구 동작대로 3,서울특별시 동작구 사당역,37.4787288,126.9820131
120,434,4,남태령,서울특별시 서초구 과천대로 지하 816 (방배동),서울특별시 서초구 과천대로 지하 816 ,서울특별시 서초구 남태령역,37.4663919,126.9877884
