기간	자치구	학교수	학급수	학생수	학생수	학생수	교원수	교원수	사무직원수	사무직원수	졸업자현황	졸업자현황	입학자현황	입학자현황	교지면적	건물면적	교실수
기간	자치구	학교수	학급수	계	남자	여자	계	여자	계	여자	졸업자수	진학자수	입학정원수	입학자수	교지면적	건물면적	교실수
2014	관악구	4	116	3,123	1,395	1,728	258	168	27	13	949	582	971	951	66	51	89
2014	서초구	5	191	6,356	4,218	2,138	428	283	39	19	2,119	1,015	2,117	2,054	136	82	193
2014	강남구	5	196	6,843	3,440	3,403	441	298	41	19	2,532	1,253	2,201	2,201	192	89	198
2014	송파구	9	326	10,080	5,257	4,823	699	450	57	33	3,760	2,170	3,135	3,130	152	126	338
2014	강동구	4	138	3,724	1,450	2,274	284	178	29	16	1,414	851	1,199	1,165	61	52	153
2015	합계	74	2,544	75,477	40,083	35,394	5,625	3,708	486	249	27,842	16,170	23,962	23,476	1,373	1,052	3,627
2015	국립	1	27	942	481	461	65	35	5	1	337	219	288	307	-	10	37
2015	공립	73	2,517	74,535	39,602	34,933	5,560	3,673	481	248	27,505	15,951	23,674	23,169	1,373	1,042	3,590
2015	종로구	1	41	1,335	1,335	-	90	49	8	2	508	243	396	407	48	22	70
2015	용산구	1	43	1,359	1,359	-	93	61	7	3	492	257	470	479	36	18	53
2015	성동구	2	74	2,159	442	1,717	157	110	14	8	864	510	694	694	49	27	104
2015	광진구	2	93	3,137	1,784	1,353	207	129	15	6	1,093	631	946	946	32	33	127
2015	동대문구	1	24	618	361	257	54	33	5	3	208	97	210	205	13	10	37
2015	중랑구	3	102	2,887	1,770	1,117	219	144	20	8	1,066	649	880	878	45	39	163
2015	성북구	2	60	1,894	985	909	143	83	11	2	771	444	542	561	19	24	87
2015	강북구	2	69	1,838	535	1,303	146	109	14	5	701	442	551	551	25	28	100
2015	도봉구	5	156	4,200	2,317	1,883	351	224	30	14	1,671	981	1,380	1,240	74	71	230
2015	노원구	4	144	4,470	3,057	1,413	323	203	29	15	1,641	1,008	1,439	1,396	54	54	210
2015	은평구	3	92	2,496	1,369	1,127	193	130	19	13	931	571	823	812	34	39	128
2015	서대문구	1	27	753	360	393	61	41	5	2	-	-	252	247	7	13	35
2015	양천구	3	102	3,325	1,281	2,044	224	153	19	12	1,117	594	1,112	1,121	53	39	125
2015	강서구	3	87	2,259	1,132	1,127	193	117	20	13	895	598	758	753	41	42	126
2015	구로구	4	142	4,669	2,687	1,982	314	186	24	15	1,728	1,105	1,430	1,441	61	51	202
2015	금천구	1	33	922	493	429	72	54	7	5	345	181	268	266	20	16	41
2015	영등포구	6	205	5,867	2,835	3,032	453	313	37	18	2,216	1,382	1,729	1,724	87	79	277
2015	동작구	3	100	2,955	1,182	1,773	220	142	22	12	1,129	762	865	871	68	46	139
2015	관악구	4	111	2,853	1,223	1,630	256	169	30	15	1,076	614	856	867	66	51	180
2015	서초구	5	193	6,118	4,098	2,020	444	314	35	19	2,129	1,035	2,243	1,917	136	82	276
2015	강남구	5	197	6,675	3,268	3,407	444	305	35	14	2,376	1,132	2,168	2,164	192	89	263
2015	송파구	9	318	9,313	4,858	4,455	685	452	53	29	3,591	2,129	2,955	2,927	152	126	453
2015	강동구	4	131	3,375	1,352	2,023	283	187	27	16	1,294	805	995	1,009	61	52	201
2016	합계	74	2,495	71,844	37,735	34,109	5,578	3,762	472	247	27,113	15,998	23,862	23,800	1,400	1,052	3,576
2016	국립	1	27	925	471	454	71	41	5	1	312	202	280	292	-	10	37
2016	공립	73	2,468	70,919	37,264	33,655	5,507	3,721	467	246	26,801	15,796	23,582	23,508	1,400	1,042	3,539
2016	종로구	1	39	1,216	1,216	-	92	54	8	3	508	244	408	411	48	22	68
2016	용산구	1	44	1,362	1,362	-	96	62	6	1	444	229	459	459	36	18	53
2016	성동구	2	73	2,034	398	1,636	156	109	14	8	797	466	668	672	49	27	103
2016	광진구	2	90	2,963	1,663	1,300	197	124	16	9	1,102	610	939	939	32	33	128
2016	동대문구	1	24	599	350	249	57	39	5	4	205	149	196	197	13	10	37
2016	중랑구	3	97	2,659	1,539	1,120	216	143	18	6	1,095	642	865	875	45	39	163
2016	성북구	2	58	1,779	923	856	146	89	12	3	690	446	553	565	19	24	85
2016	강북구	2	67	1,762	525	1,237	152	115	13	5	668	398	578	577	25	28	100
2016	도봉구	5	155	3,886	2,105	1,781	352	220	30	14	1,632	972	1,350	1,353	74	71	230
2016	노원구	4	142	4,188	2,855	1,333	317	204	29	17	1,647	992	1,442	1,428	54	54	204
2016	은평구	3	89	2,465	1,315	1,150	191	123	19	13	842	560	808	806	44	39	128
2016	서대문구	1	27	737	355	382	61	44	6	2	275	153	256	255	7	13	36
2016	양천구	3	102	3,320	1,261	2,059	227	156	18	10	1,099	585	1,099	1,105	53	40	125
2016	강서구	3	87	2,223	1,084	1,139	196	124	18	12	733	483	720	720	41	42	127
2016	구로구	4	141	4,473	2,522	1,951	316	197	24	17	1,695	1,078	1,431	1,443	61	52	201
2016	금천구	1	31	843	450	393	71	50	7	3	336	213	258	258	20	16	41
2016	영등포구	6	199	5,520	2,612	2,908	440	314	35	19	2,137	1,300	1,799	1,782	87	79	268
2016	동작구	3	96	2,714	1,044	1,670	218	149	20	11	1,124	652	902	893	86	46	134
2016	관악구	4	106	2,653	1,209	1,444	234	161	25	11	1,066	668	865	865	66	51	178
2016	서초구	5	190	5,940	3,920	2,020	451	322	36	20	2,162	1,099	2,020	2,015	136	82	258
2016	강남구	5	198	6,432	3,138	3,294	447	312	35	17	2,305	1,270	2,134	2,109	192	89	269
2016	송파구	9	315	8,967	4,621	4,346	680	474	54	29	3,316	2,066	3,097	3,059	152	126	450
2016	강동구	4	125	3,109	1,268	1,841	265	177	24	13	1,235	723	1,015	1,014	61	52	190
2017	합계	76	2,430	66,687	34,461	32,226	5,439	3,684	486	252	24,567	14,464	19,899	19,716	1,405	1,073	3,613
2017	국립	1	27	869	426	443	71	45	5	1	315	205	272	272	-	8	33
2017	공립	75	2,403	65,818	34,035	31,783	5,368	3,639	481	251	24,252	14,259	19,627	19,444	1,405	1,065	3,580
2017	종로구	1	38	1,139	1,139	-	89	57	8	3	405	213	340	334	48	22	68
2017	용산구	1	44	1,309	1,309	-	98	62	6	2	417	238	397	397	36	18	53
2017	성동구	4	86	2,140	467	1,673	188	125	27	14	669	419	792	755	67	49	175
2017	광진구	2	85	2,592	1,451	1,141	192	121	14	8	1,072	587	702	702	32	33	122
2017	동대문구	1	24	546	324	222	56	40	5	2	200	111	165	165	13	10	37
2017	중랑구	3	92	2,488	1,359	1,129	201	139	18	6	900	521	700	699	45	39	152
2017	성북구	2	56	1,671	825	846	138	87	12	4	625	384	531	531	19	21	81
2017	강북구	2	63	1,631	469	1,162	147	109	13	5	605	378	461	466	25	28	99
2017	도봉구	5	151	3,758	2,043	1,715	327	197	30	13	1,310	800	1,226	1,177	74	71	230
2017	노원구	4	137	3,827	2,599	1,228	309	194	28	15	1,395	844	1,084	1,084	54	54	200
2017	은평구	3	87	2,278	1,193	1,085	188	117	21	13	830	538	654	657	44	39	124
2017	서대문구	1	27	731	333	398	58	44	6	2	231	192	248	255	7	13	36
2017	양천구	3	100	3,133	1,165	1,968	225	161	16	8	1,069	575	917	928	53	40	123
